"RunID","STATUS_ID","STATUS","ROUTE_ID","ROUTE","MARKER_ID","MARKER","FAIR_TYPE_ID","FAIR_TYPE","INVOICE_OPTION_ID","INVOICE_OPTION"
"235","10","Cancelled","2","Northland route","4","D","-99","NA_GDW","0","NA_ERR"
"235","10","Cancelled","2","Northland route","4","D","-99","NA_GDW","1","Free Books/Rewards"
"235","10","Cancelled","2","Northland route","4","D","-99","NA_GDW","2","Cash"
"235","10","Cancelled","2","Northland route","4","D","0","NA_ERR","-99","NA_GDW"
"235","10","Cancelled","2","Northland route","4","D","0","NA_ERR","0","NA_ERR"
"235","10","Cancelled","2","Northland route","4","D","0","NA_ERR","1","Free Books/Rewards"
"235","10","Cancelled","2","Northland route","4","D","0","NA_ERR","2","Cash"
"235","10","Cancelled","2","Northland route","4","D","1","Boxed","-99","NA_GDW"
"235","10","Cancelled","2","Northland route","4","D","1","Boxed","0","NA_ERR"
"235","10","Cancelled","2","Northland route","4","D","1","Boxed","1","Free Books/Rewards"
"235","10","Cancelled","2","Northland route","4","D","1","Boxed","2","Cash"
"235","10","Cancelled","2","Northland route","4","D","2","Cased","-99","NA_GDW"
"235","10","Cancelled","2","Northland route","4","D","2","Cased","0","NA_ERR"
"235","10","Cancelled","2","Northland route","4","D","2","Cased","1","Free Books/Rewards"
"235","10","Cancelled","2","Northland route","4","D","2","Cased","2","Cash"
"235","10","Cancelled","2","Northland route","5","O","-99","NA_GDW","-99","NA_GDW"
"235","10","Cancelled","2","Northland route","5","O","-99","NA_GDW","0","NA_ERR"
"235","10","Cancelled","2","Northland route","5","O","-99","NA_GDW","1","Free Books/Rewards"
"235","10","Cancelled","2","Northland route","5","O","-99","NA_GDW","2","Cash"
"235","10","Cancelled","2","Northland route","5","O","0","NA_ERR","-99","NA_GDW"
"235","10","Cancelled","2","Northland route","5","O","0","NA_ERR","0","NA_ERR"
"235","10","Cancelled","2","Northland route","5","O","0","NA_ERR","1","Free Books/Rewards"
"235","10","Cancelled","2","Northland route","5","O","0","NA_ERR","2","Cash"
"235","10","Cancelled","2","Northland route","5","O","1","Boxed","-99","NA_GDW"
"235","10","Cancelled","2","Northland route","5","O","1","Boxed","0","NA_ERR"
"235","10","Cancelled","2","Northland route","5","O","1","Boxed","1","Free Books/Rewards"
"235","10","Cancelled","2","Northland route","5","O","1","Boxed","2","Cash"
"235","10","Cancelled","2","Northland route","5","O","2","Cased","-99","NA_GDW"
"235","10","Cancelled","2","Northland route","5","O","2","Cased","0","NA_ERR"
"235","10","Cancelled","2","Northland route","5","O","2","Cased","1","Free Books/Rewards"
"235","10","Cancelled","2","Northland route","5","O","2","Cased","2","Cash"
"235","10","Cancelled","3","Wellington route","-99","NA_GDW","-99","NA_GDW","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","-99","NA_GDW","-99","NA_GDW","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","-99","NA_GDW","-99","NA_GDW","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","-99","NA_GDW","-99","NA_GDW","2","Cash"
"235","10","Cancelled","3","Wellington route","-99","NA_GDW","0","NA_ERR","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","-99","NA_GDW","0","NA_ERR","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","-99","NA_GDW","0","NA_ERR","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","-99","NA_GDW","0","NA_ERR","2","Cash"
"235","10","Cancelled","3","Wellington route","-99","NA_GDW","1","Boxed","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","-99","NA_GDW","1","Boxed","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","-99","NA_GDW","1","Boxed","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","-99","NA_GDW","1","Boxed","2","Cash"
"235","10","Cancelled","3","Wellington route","-99","NA_GDW","2","Cased","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","-99","NA_GDW","2","Cased","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","-99","NA_GDW","2","Cased","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","-99","NA_GDW","2","Cased","2","Cash"
"235","10","Cancelled","3","Wellington route","0","NA_ERR","-99","NA_GDW","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","0","NA_ERR","-99","NA_GDW","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","0","NA_ERR","-99","NA_GDW","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","0","NA_ERR","-99","NA_GDW","2","Cash"
"235","10","Cancelled","3","Wellington route","0","NA_ERR","0","NA_ERR","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","0","NA_ERR","0","NA_ERR","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","0","NA_ERR","0","NA_ERR","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","0","NA_ERR","0","NA_ERR","2","Cash"
"235","10","Cancelled","3","Wellington route","0","NA_ERR","1","Boxed","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","0","NA_ERR","1","Boxed","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","0","NA_ERR","1","Boxed","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","0","NA_ERR","1","Boxed","2","Cash"
"235","10","Cancelled","3","Wellington route","0","NA_ERR","2","Cased","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","0","NA_ERR","2","Cased","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","0","NA_ERR","2","Cased","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","0","NA_ERR","2","Cased","2","Cash"
"235","10","Cancelled","3","Wellington route","1","A","-99","NA_GDW","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","1","A","-99","NA_GDW","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","1","A","-99","NA_GDW","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","1","A","-99","NA_GDW","2","Cash"
"235","10","Cancelled","3","Wellington route","1","A","0","NA_ERR","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","1","A","0","NA_ERR","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","1","A","0","NA_ERR","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","1","A","0","NA_ERR","2","Cash"
"235","10","Cancelled","3","Wellington route","1","A","1","Boxed","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","1","A","1","Boxed","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","1","A","1","Boxed","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","1","A","1","Boxed","2","Cash"
"235","10","Cancelled","3","Wellington route","1","A","2","Cased","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","1","A","2","Cased","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","1","A","2","Cased","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","1","A","2","Cased","2","Cash"
"235","10","Cancelled","3","Wellington route","2","B","-99","NA_GDW","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","2","B","-99","NA_GDW","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","2","B","-99","NA_GDW","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","2","B","-99","NA_GDW","2","Cash"
"235","10","Cancelled","3","Wellington route","2","B","0","NA_ERR","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","2","B","0","NA_ERR","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","2","B","0","NA_ERR","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","2","B","0","NA_ERR","2","Cash"
"235","10","Cancelled","3","Wellington route","2","B","1","Boxed","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","2","B","1","Boxed","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","2","B","1","Boxed","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","2","B","1","Boxed","2","Cash"
"235","10","Cancelled","3","Wellington route","2","B","2","Cased","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","2","B","2","Cased","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","2","B","2","Cased","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","2","B","2","Cased","2","Cash"
"235","10","Cancelled","3","Wellington route","3","C","-99","NA_GDW","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","3","C","-99","NA_GDW","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","3","C","-99","NA_GDW","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","3","C","-99","NA_GDW","2","Cash"
"235","10","Cancelled","3","Wellington route","3","C","0","NA_ERR","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","3","C","0","NA_ERR","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","3","C","0","NA_ERR","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","3","C","0","NA_ERR","2","Cash"
"235","10","Cancelled","3","Wellington route","3","C","1","Boxed","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","3","C","1","Boxed","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","3","C","1","Boxed","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","3","C","1","Boxed","2","Cash"
"235","10","Cancelled","3","Wellington route","3","C","2","Cased","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","3","C","2","Cased","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","3","C","2","Cased","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","3","C","2","Cased","2","Cash"
"235","10","Cancelled","3","Wellington route","4","D","-99","NA_GDW","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","4","D","-99","NA_GDW","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","4","D","-99","NA_GDW","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","4","D","-99","NA_GDW","2","Cash"
"235","10","Cancelled","3","Wellington route","4","D","0","NA_ERR","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","4","D","0","NA_ERR","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","4","D","0","NA_ERR","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","4","D","0","NA_ERR","2","Cash"
"235","10","Cancelled","3","Wellington route","4","D","1","Boxed","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","4","D","1","Boxed","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","4","D","1","Boxed","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","4","D","1","Boxed","2","Cash"
"235","10","Cancelled","3","Wellington route","4","D","2","Cased","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","4","D","2","Cased","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","4","D","2","Cased","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","4","D","2","Cased","2","Cash"
"235","10","Cancelled","3","Wellington route","5","O","-99","NA_GDW","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","5","O","-99","NA_GDW","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","5","O","-99","NA_GDW","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","5","O","-99","NA_GDW","2","Cash"
"235","10","Cancelled","3","Wellington route","5","O","0","NA_ERR","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","5","O","0","NA_ERR","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","5","O","0","NA_ERR","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","5","O","0","NA_ERR","2","Cash"
"235","10","Cancelled","3","Wellington route","5","O","1","Boxed","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","5","O","1","Boxed","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","5","O","1","Boxed","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","5","O","1","Boxed","2","Cash"
"235","10","Cancelled","3","Wellington route","5","O","2","Cased","-99","NA_GDW"
"235","10","Cancelled","3","Wellington route","5","O","2","Cased","0","NA_ERR"
"235","10","Cancelled","3","Wellington route","5","O","2","Cased","1","Free Books/Rewards"
"235","10","Cancelled","3","Wellington route","5","O","2","Cased","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","-99","NA_GDW","-99","NA_GDW","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","-99","NA_GDW","-99","NA_GDW","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","-99","NA_GDW","-99","NA_GDW","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","-99","NA_GDW","-99","NA_GDW","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","-99","NA_GDW","0","NA_ERR","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","-99","NA_GDW","0","NA_ERR","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","-99","NA_GDW","0","NA_ERR","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","-99","NA_GDW","0","NA_ERR","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","-99","NA_GDW","1","Boxed","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","-99","NA_GDW","1","Boxed","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","-99","NA_GDW","1","Boxed","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","-99","NA_GDW","1","Boxed","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","-99","NA_GDW","2","Cased","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","-99","NA_GDW","2","Cased","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","-99","NA_GDW","2","Cased","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","-99","NA_GDW","2","Cased","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","0","NA_ERR","-99","NA_GDW","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","0","NA_ERR","-99","NA_GDW","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","0","NA_ERR","-99","NA_GDW","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","0","NA_ERR","-99","NA_GDW","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","0","NA_ERR","0","NA_ERR","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","0","NA_ERR","0","NA_ERR","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","0","NA_ERR","0","NA_ERR","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","0","NA_ERR","0","NA_ERR","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","0","NA_ERR","1","Boxed","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","0","NA_ERR","1","Boxed","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","0","NA_ERR","1","Boxed","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","0","NA_ERR","1","Boxed","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","0","NA_ERR","2","Cased","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","0","NA_ERR","2","Cased","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","0","NA_ERR","2","Cased","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","0","NA_ERR","2","Cased","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","1","A","-99","NA_GDW","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","1","A","-99","NA_GDW","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","1","A","-99","NA_GDW","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","1","A","-99","NA_GDW","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","1","A","0","NA_ERR","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","1","A","0","NA_ERR","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","1","A","0","NA_ERR","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","1","A","0","NA_ERR","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","1","A","1","Boxed","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","1","A","1","Boxed","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","1","A","1","Boxed","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","1","A","1","Boxed","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","1","A","2","Cased","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","1","A","2","Cased","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","1","A","2","Cased","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","1","A","2","Cased","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","2","B","-99","NA_GDW","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","2","B","-99","NA_GDW","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","2","B","-99","NA_GDW","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","2","B","-99","NA_GDW","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","2","B","0","NA_ERR","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","2","B","0","NA_ERR","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","2","B","0","NA_ERR","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","2","B","0","NA_ERR","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","2","B","1","Boxed","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","2","B","1","Boxed","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","2","B","1","Boxed","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","2","B","1","Boxed","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","2","B","2","Cased","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","2","B","2","Cased","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","2","B","2","Cased","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","2","B","2","Cased","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","3","C","-99","NA_GDW","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","3","C","-99","NA_GDW","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","3","C","-99","NA_GDW","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","3","C","-99","NA_GDW","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","3","C","0","NA_ERR","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","3","C","0","NA_ERR","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","3","C","0","NA_ERR","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","3","C","0","NA_ERR","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","3","C","1","Boxed","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","3","C","1","Boxed","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","3","C","1","Boxed","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","3","C","1","Boxed","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","3","C","2","Cased","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","3","C","2","Cased","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","3","C","2","Cased","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","3","C","2","Cased","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","4","D","-99","NA_GDW","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","4","D","-99","NA_GDW","0","NA_ERR"
"235","2","Fair Booked","-99","NA_GDW","4","D","-99","NA_GDW","1","Free Books/Rewards"
"235","2","Fair Booked","-99","NA_GDW","4","D","-99","NA_GDW","2","Cash"
"235","2","Fair Booked","-99","NA_GDW","4","D","0","NA_ERR","-99","NA_GDW"
"235","2","Fair Booked","-99","NA_GDW","4","D","0","NA_ERR","0","NA_ERR"
